feature,importance
met_coal,0
dry_bulk_freight,0
steel_etf,264
usd_inr,330
chn_electricity,357
simn,217
mn_ore,487
covid_disruption,1
ukraine_energy_shock,4
structural_ore_deficit,0
Target_Proxy_ret,141
Target_Proxy_lag1,106
Target_Proxy_lag2,56
Target_Proxy_lag4,141
Target_Proxy_lag6,91
Target_Proxy_lag8,86
Target_Proxy_lag13,71
Target_Proxy_lag26,193
Target_Proxy_rm4,106
Target_Proxy_rz4,155
Target_Proxy_rm8,141
Target_Proxy_rz8,101
Target_Proxy_rm13,86
Target_Proxy_rz13,133
Target_Proxy_rm26,158
Target_Proxy_rz26,283
simn_ret,6
simn_lag1,82
simn_lag2,293
simn_lag4,134
simn_lag6,180
simn_lag8,124
simn_lag13,112
simn_lag26,99
simn_rm4,183
simn_rz4,29
simn_rm8,74
simn_rz8,213
simn_rm13,53
simn_rz13,291
simn_rm26,45
simn_rz26,254
mn_ore_ret,125
mn_ore_lag1,113
mn_ore_lag2,28
mn_ore_lag4,148
mn_ore_lag6,79
mn_ore_lag8,28
mn_ore_lag13,41
mn_ore_lag26,263
mn_ore_rm4,37
mn_ore_rz4,183
mn_ore_rm8,89
mn_ore_rz8,57
mn_ore_rm13,140
mn_ore_rz13,75
mn_ore_rm26,89
mn_ore_rz26,276
chn_electricity_ret,396
chn_electricity_lag1,288
chn_electricity_lag2,176
chn_electricity_lag4,291
chn_electricity_lag6,249
chn_electricity_lag8,365
chn_electricity_lag13,196
chn_electricity_lag26,251
chn_electricity_rm4,193
chn_electricity_rz4,263
chn_electricity_rm8,219
chn_electricity_rz8,253
chn_electricity_rm13,189
chn_electricity_rz13,324
chn_electricity_rm26,138
chn_electricity_rz26,309
met_coal_ret,0
met_coal_lag1,0
met_coal_lag2,0
met_coal_lag4,0
met_coal_lag6,0
met_coal_lag8,0
met_coal_lag13,0
met_coal_lag26,0
met_coal_rm4,0
met_coal_rz4,0
met_coal_rm8,0
met_coal_rz8,0
met_coal_rm13,0
met_coal_rz13,0
met_coal_rm26,0
met_coal_rz26,0
dry_bulk_freight_ret,0
dry_bulk_freight_lag1,0
dry_bulk_freight_lag2,0
dry_bulk_freight_lag4,0
dry_bulk_freight_lag6,0
dry_bulk_freight_lag8,0
dry_bulk_freight_lag13,0
dry_bulk_freight_lag26,0
dry_bulk_freight_rm4,0
dry_bulk_freight_rz4,0
dry_bulk_freight_rm8,0
dry_bulk_freight_rz8,0
dry_bulk_freight_rm13,0
dry_bulk_freight_rz13,0
dry_bulk_freight_rm26,0
dry_bulk_freight_rz26,0
steel_etf_ret,345
steel_etf_lag1,232
steel_etf_lag2,236
steel_etf_lag4,230
steel_etf_lag6,246
steel_etf_lag8,232
steel_etf_lag13,317
steel_etf_lag26,519
steel_etf_rm4,107
steel_etf_rz4,374
steel_etf_rm8,135
steel_etf_rz8,743
steel_etf_rm13,127
steel_etf_rz13,937
steel_etf_rm26,274
steel_etf_rz26,793
usd_inr_ret,363
usd_inr_lag1,177
usd_inr_lag2,141
usd_inr_lag4,188
usd_inr_lag6,197
usd_inr_lag8,155
usd_inr_lag13,191
usd_inr_lag26,213
usd_inr_rm4,92
usd_inr_rz4,379
usd_inr_rm8,104
usd_inr_rz8,483
usd_inr_rm13,82
usd_inr_rz13,396
usd_inr_rm26,87
usd_inr_rz26,280
month,189
quarter,0
