feature,importance
met_coal,0
dry_bulk_freight,0
steel_etf,173
usd_inr,157
chn_electricity,531
simn,585
mn_ore,158
covid_disruption,1
ukraine_energy_shock,0
structural_ore_deficit,0
Target_Proxy_ret,1113
Target_Proxy_lag1,712
Target_Proxy_lag2,207
Target_Proxy_lag4,220
Target_Proxy_lag6,175
Target_Proxy_lag8,197
Target_Proxy_lag13,195
Target_Proxy_lag26,148
Target_Proxy_rm4,565
Target_Proxy_rz4,480
Target_Proxy_rm8,283
Target_Proxy_rz8,497
Target_Proxy_rm13,246
Target_Proxy_rz13,737
Target_Proxy_rm26,180
Target_Proxy_rz26,466
simn_ret,12
simn_lag1,128
simn_lag2,119
simn_lag4,163
simn_lag6,79
simn_lag8,44
simn_lag13,198
simn_lag26,32
simn_rm4,430
simn_rz4,79
simn_rm8,144
simn_rz8,148
simn_rm13,126
simn_rz13,222
simn_rm26,60
simn_rz26,311
mn_ore_ret,220
mn_ore_lag1,92
mn_ore_lag2,41
mn_ore_lag4,67
mn_ore_lag6,74
mn_ore_lag8,113
mn_ore_lag13,62
mn_ore_lag26,208
mn_ore_rm4,82
mn_ore_rz4,257
mn_ore_rm8,91
mn_ore_rz8,117
mn_ore_rm13,28
mn_ore_rz13,114
mn_ore_rm26,63
mn_ore_rz26,140
chn_electricity_ret,315
chn_electricity_lag1,265
chn_electricity_lag2,112
chn_electricity_lag4,109
chn_electricity_lag6,98
chn_electricity_lag8,97
chn_electricity_lag13,280
chn_electricity_lag26,108
chn_electricity_rm4,130
chn_electricity_rz4,172
chn_electricity_rm8,60
chn_electricity_rz8,215
chn_electricity_rm13,114
chn_electricity_rz13,267
chn_electricity_rm26,50
chn_electricity_rz26,225
met_coal_ret,0
met_coal_lag1,0
met_coal_lag2,0
met_coal_lag4,0
met_coal_lag6,0
met_coal_lag8,0
met_coal_lag13,0
met_coal_lag26,0
met_coal_rm4,0
met_coal_rz4,0
met_coal_rm8,0
met_coal_rz8,0
met_coal_rm13,0
met_coal_rz13,0
met_coal_rm26,0
met_coal_rz26,0
dry_bulk_freight_ret,0
dry_bulk_freight_lag1,0
dry_bulk_freight_lag2,0
dry_bulk_freight_lag4,0
dry_bulk_freight_lag6,0
dry_bulk_freight_lag8,0
dry_bulk_freight_lag13,0
dry_bulk_freight_lag26,0
dry_bulk_freight_rm4,0
dry_bulk_freight_rz4,0
dry_bulk_freight_rm8,0
dry_bulk_freight_rz8,0
dry_bulk_freight_rm13,0
dry_bulk_freight_rz13,0
dry_bulk_freight_rm26,0
dry_bulk_freight_rz26,0
steel_etf_ret,403
steel_etf_lag1,197
steel_etf_lag2,276
steel_etf_lag4,169
steel_etf_lag6,185
steel_etf_lag8,179
steel_etf_lag13,301
steel_etf_lag26,289
steel_etf_rm4,88
steel_etf_rz4,296
steel_etf_rm8,61
steel_etf_rz8,265
steel_etf_rm13,75
steel_etf_rz13,236
steel_etf_rm26,142
steel_etf_rz26,292
usd_inr_ret,418
usd_inr_lag1,109
usd_inr_lag2,117
usd_inr_lag4,154
usd_inr_lag6,63
usd_inr_lag8,108
usd_inr_lag13,136
usd_inr_lag26,157
usd_inr_rm4,89
usd_inr_rz4,297
usd_inr_rm8,30
usd_inr_rz8,344
usd_inr_rm13,54
usd_inr_rz13,445
usd_inr_rm26,41
usd_inr_rz26,261
month,107
quarter,0
