feature,importance
met_coal,0
dry_bulk_freight,0
steel_etf,155
usd_inr,186
chn_electricity,579
simn,270
mn_ore,361
covid_disruption,0
ukraine_energy_shock,12
structural_ore_deficit,0
Target_Proxy_ret,692
Target_Proxy_lag1,597
Target_Proxy_lag2,295
Target_Proxy_lag4,178
Target_Proxy_lag6,153
Target_Proxy_lag8,217
Target_Proxy_lag13,260
Target_Proxy_lag26,183
Target_Proxy_rm4,377
Target_Proxy_rz4,440
Target_Proxy_rm8,98
Target_Proxy_rz8,358
Target_Proxy_rm13,148
Target_Proxy_rz13,392
Target_Proxy_rm26,111
Target_Proxy_rz26,388
simn_ret,7
simn_lag1,195
simn_lag2,76
simn_lag4,97
simn_lag6,61
simn_lag8,94
simn_lag13,187
simn_lag26,66
simn_rm4,205
simn_rz4,82
simn_rm8,170
simn_rz8,234
simn_rm13,102
simn_rz13,328
simn_rm26,76
simn_rz26,278
mn_ore_ret,269
mn_ore_lag1,93
mn_ore_lag2,79
mn_ore_lag4,110
mn_ore_lag6,116
mn_ore_lag8,139
mn_ore_lag13,93
mn_ore_lag26,282
mn_ore_rm4,62
mn_ore_rz4,196
mn_ore_rm8,69
mn_ore_rz8,131
mn_ore_rm13,131
mn_ore_rz13,120
mn_ore_rm26,57
mn_ore_rz26,220
chn_electricity_ret,343
chn_electricity_lag1,198
chn_electricity_lag2,128
chn_electricity_lag4,109
chn_electricity_lag6,178
chn_electricity_lag8,130
chn_electricity_lag13,93
chn_electricity_lag26,66
chn_electricity_rm4,214
chn_electricity_rz4,130
chn_electricity_rm8,131
chn_electricity_rz8,198
chn_electricity_rm13,85
chn_electricity_rz13,201
chn_electricity_rm26,39
chn_electricity_rz26,237
met_coal_ret,0
met_coal_lag1,0
met_coal_lag2,0
met_coal_lag4,0
met_coal_lag6,0
met_coal_lag8,0
met_coal_lag13,0
met_coal_lag26,0
met_coal_rm4,0
met_coal_rz4,0
met_coal_rm8,0
met_coal_rz8,0
met_coal_rm13,0
met_coal_rz13,0
met_coal_rm26,0
met_coal_rz26,0
dry_bulk_freight_ret,0
dry_bulk_freight_lag1,0
dry_bulk_freight_lag2,0
dry_bulk_freight_lag4,0
dry_bulk_freight_lag6,0
dry_bulk_freight_lag8,0
dry_bulk_freight_lag13,0
dry_bulk_freight_lag26,0
dry_bulk_freight_rm4,0
dry_bulk_freight_rz4,0
dry_bulk_freight_rm8,0
dry_bulk_freight_rz8,0
dry_bulk_freight_rm13,0
dry_bulk_freight_rz13,0
dry_bulk_freight_rm26,0
dry_bulk_freight_rz26,0
steel_etf_ret,502
steel_etf_lag1,181
steel_etf_lag2,142
steel_etf_lag4,172
steel_etf_lag6,209
steel_etf_lag8,180
steel_etf_lag13,274
steel_etf_lag26,357
steel_etf_rm4,58
steel_etf_rz4,330
steel_etf_rm8,44
steel_etf_rz8,599
steel_etf_rm13,44
steel_etf_rz13,905
steel_etf_rm26,236
steel_etf_rz26,711
usd_inr_ret,374
usd_inr_lag1,121
usd_inr_lag2,113
usd_inr_lag4,100
usd_inr_lag6,119
usd_inr_lag8,154
usd_inr_lag13,156
usd_inr_lag26,150
usd_inr_rm4,47
usd_inr_rz4,362
usd_inr_rm8,58
usd_inr_rz8,276
usd_inr_rm13,42
usd_inr_rz13,335
usd_inr_rm26,82
usd_inr_rz26,293
month,163
quarter,0
